DATE,Median Income,State
2004-01-01,59522,texas
2005-01-01,57607,texas
2006-01-01,58337,texas
2007-01-01,60325,texas
2008-01-01,58645,texas
2009-01-01,60097,texas
2010-01-01,58861,texas
2011-01-01,59213,texas
2012-01-01,61388,texas
2013-01-01,59886,texas
2014-01-01,61717,texas
2015-01-01,64582,texas
2016-01-01,65649,texas
2017-01-01,66417,texas
2018-01-01,64506,texas
2019-01-01,71474,texas
2000-01-01,59274,southcarolina
2001-01-01,57888,southcarolina
2002-01-01,57104,southcarolina
2003-01-01,56821,southcarolina
2004-01-01,55631,southcarolina
2005-01-01,55949,southcarolina
2006-01-01,53367,southcarolina
2007-01-01,57915,southcarolina
2008-01-01,53177,southcarolina
2009-01-01,52028,southcarolina
2010-01-01,51927,southcarolina
2011-01-01,48392,southcarolina
2012-01-01,52492,southcarolina
2013-01-01,50749,southcarolina
2014-01-01,51469,southcarolina
2015-01-01,53017,southcarolina
2016-01-01,61347,southcarolina
2017-01-01,60278,southcarolina
2018-01-01,61980,southcarolina
2019-01-01,65735,southcarolina
2000-01-01,57215,kentucky
2001-01-01,58963,kentucky
2002-01-01,55519,kentucky
2003-01-01,54543,kentucky
2004-01-01,51201,kentucky
2005-01-01,51038,kentucky
2006-01-01,53189,kentucky
2007-01-01,51679,kentucky
2008-01-01,51907,kentucky
2009-01-01,54007,kentucky
2010-01-01,51188,kentucky
2011-01-01,48117,kentucky
2012-01-01,48573,kentucky
2013-01-01,52282,kentucky
2014-01-01,49014,kentucky
2015-01-01,48474,kentucky
2016-01-01,51223,kentucky
2017-01-01,54901,kentucky
2018-01-01,58863,kentucky
2019-01-01,58989,kentucky
2000-01-01,62467,vermont
2001-01-01,62579,vermont
2002-01-01,64938,vermont
2003-01-01,63883,vermont
2004-01-01,68051,vermont
2005-01-01,70515,vermont
2006-01-01,70022,vermont
2007-01-01,62077,vermont
2008-01-01,63964,vermont
2009-01-01,66227,vermont
2010-01-01,69648,vermont
2011-01-01,62611,vermont
2012-01-01,65710,vermont
2013-01-01,76320,vermont
2014-01-01,69545,vermont
